0024570000	0000000000
ffe8cac9a0	0001039800
0038295ba0	fffcd74600
000ebf9588	0000e9d3a0
fffa0851b0	0007c27540
ffe9d30148	fffb68b8a0
fff33f5578	fffaec9454
fff25070f8	000413a350
00032d2f04	fffd2f113c
ffc45f049e	000b4c98c4
ffaac2eed4	0002fd87d0
fff6f2be13	fffa85fcf4
002d3bb76b	0009b53ea0
ffee2c0c18	fff76ff2c4
ffb64aae5f	00007c9410
0007986f14	000206db7c
001cfe2719	000b43bef4
001c04b851	001129b160
001a73cd12	fff7e08050
ff8c3c5d74	ffff75f147
001f7dd78a	fff07324dc
ffca4df754	0003920cf1
ffc152fa3f	ffff28b45b
ffd2885313	ffdfd91744
002a6a7bf8	0032d96aba
ffdc1503aa	ffd9a1f90c
004a79b5a3	ffd975c7d6
004efb77c7	00243eb92a
0056edd4c7	ffd7c02a23
002db3b13b	00048c868d
0013e513a6	ffb9221082
ff3d4fda8e	ffe3d12855
00fbc4ee4b	003e5c8a92
fffe1fb653	ffa0908cf6
ffe369d3d2	ffca250a73
ff7b67d454	fff315c9b6
004c6a6706	0016bdbbfa
001404a8ca	001a1012ca
ffd1985c43	fff826e251
ffcd4f9091	005f9c6fff
ffbac603cf	00074adde5
00988948cf	0016cdd2e1
004ac0719f	002278310a
ffe3e3cfe7	000a007e36
006c42d793	0041fbbc40
0023d50148	0009ba1719
0034406694	005fbd08c4
ff350bbf7e	00446812c8
007f79307e	ffcb6b3973
01555bf212	00791873c8
ffae1ea347	000a995572
ffe511fc10	ffe6357494
ff86a2d4ca	00383394dd
ffb15108e3	fff6dc32a9
0023b9f0a9	0038cb798d
00005c99ee	ffeaeab162
ffd03005bc	0042b6aed2
00af74857d	ffbdc6fb59
0077520323	ff8afa85b2
002f7dd5ab	ffa34d77df
00b2e5b853	ff52c3d6a8
ffb71d7024	00bb1dcd87
001383a44a	ff8bfb3212
ff788072ea	ffb1756631
fee5ead3b1	0050bfb028
015a31985b	ff4b2f7641
ff7ab9bc88	00243c75f2
ff2718d2ae	ff892c4d14
ffa1572549	ffe71ae736
003e86daf1	00178847e4
007764836d	ffc775a198
0060a3c2cf	ffe1ad6f59
ff7347f1b8	ffacee7c10
00ad271c86	000910127a
001be4e682	fff12df55a
002806a744	ffd01a1a2e
00aba38755	fff26d14dc
ffee2ead0a	004dc93cb7
ff9dea847c	0033df2060
ff44fdee1c	009b196daa
fe6d35691f	005d8c13c8
00b14fcccb	0043832bc5
ffefd0c8b3	0022e1a407
ffc91efcd7	ffbf75b3e9
00f6d7b657	00a1b4c9f2
00943b8168	ffb97ad553
00767cd087	005593e8e2
ffbe8be6cb	ff7f311f5f
ff1ed70a0a	fff38929b0
ff28ca85e3	00e1ade0f5
00a51751e7	ffc299250b
0008d1278e	ff4e808cbc
00b5d5e13c	ff6ec6f02b
0052e4b7be	005759ba16
febfc0a9b8	001780910f
004052da8a	003e2cdf3b
fec51e95b2	ffdd1559c2
ffc9c44a75	ff7768ee21
0125234f8b	00336430f1
fedc680b3c	febea4e4b3
ff50f47ada	fff794c1e0
012df809fd	000ca478bc
0052b38dc8	ff9fd69321
0021e5f16c	00a408b286
feddafb009	008565e524
ffdf9b6bfd	00281eae8b
ffbc6e070e	fff95412d5
00de47d22e	ffa012cb4b
006c454da7	ff6fc00cab
005e529307	003c93fe6c
005b5233da	ffc7b8cf3f
ff941e2ccf	00f857e8e3
ff16911f9c	002d7c6779
ffb890f77a	00c17e34dd
02163eea84	00962a8548
00a606e8c7	0006d8c9e8
ff10baf159	0056d544d8
00031255bc	ff8da7e726
00c82aa44e	00a2098dc1
013eb27fcd	008b22279c
ffddc8e285	fef9e0fd82
ff0c7250cb	ff731d1706
ff524e4e81	feead103d2
00a1c6474a	ffd1967bcc
008921c93d	ff9cd10690
0048c4bf37	003f2967fc
ff0c0a6159	00dc55ff1a
004009b973	00157089e9
ff2ff2250d	007e333ec5
ff74f6222f	00adb5e569
008e9ef068	0014fc9ab1
00d1d76d52	ffb6d1d3a8
ff0779ebbd	ff8e48b719
0025cb46cc	ffaef6b2fe
003859641c	ffbbb3d133
00c8d4f796	0013b5bdcd
fff1464be8	ff38b77b58
ff8bdb7a3d	fed5c3885b
ff832ad40c	ffc80c55e9
00a70766e9	ff69b69d76
006f48e6f7	0110f69c62
00ae9c6e91	008568d69a
00283d1636	0005fda379
fec1accdfe	004051ce1f
0132fa78a7	ff45a49bfb
00094158d2	002197d052
fffe41b50e	00754e8977
00e4e93aae	ffb810782a
ff0bd7afa2	001af3a638
00543688ef	ffd934bec7
ffd162dfb5	00005be664
001f1fe393	002e8370a0
0049b9071d	ff7af89f63
0006596bd8	ff7b1dda5a
002a90dc69	ffc5b8f89f
009da851fd	ff9396c43a
0086dcfb73	ffce255305
ff1c09f8c2	ff216227e0
ff07437be7	ff688e5b72
ffb689ab1a	ff6e13e788
ff8d496cfa	ff451482b9
01fd28239f	000a8eef0c
ff00e8e374	0080a692ea
001dc9005f	004ad4229d
00313392aa	006369a608
ff5b4d6cc0	ff81f51f74
0153498d83	ffda8b1897
007ac2e858	fed2736b2a
ffe0143b92	ffc35e155e
ffcd6d9d2f	006fe08dc0
ff934c271b	ffa84290d7
fe9cbd9106	0072de028d
0078c351d1	004b4f360d
0064c57d62	004ee9ad9b
00c93926fb	0120b1f93d
ff56a7abcf	008ec4ec4f
ff0c79995f	00207abbe5
007d3aaa71	0048ababba
01e125063a	000856fb61
ff31412402	000975c3e0
001b5fa51c	00baf9c4e2
feed942684	0014f44dec
0050b0bbb3	ff3e2c660e
00ac39cff1	ff8d192b68
ffcb9fb45b	ffafc3104b
0047104c96	ff97021707
00c724839f	ffa42ee77b
fdbd93d91d	00171e91c8
0049ce13dd	ff7e3db8b3
ff83ddf2a5	00797f2c4f
00625667e7	000e6f67fd
01231b89d1	001e4df216
ff61dc4ef9	ffaa91c3a0
010b9d5beb	fee229e632
0051e94d96	ffa035e2a4
ff1019d36d	fec7f66139
feb2ad1077	009be984c4
fe466aa960	0032e1e05f
fffaa0c502	ff695f45a1
007f34ef80	00e0f49376
ff53d2e972	fed4f7f18d
fe51909a8f	ff6ccd39ee
01126cac62	00038f5d60
011478ce44	ff39209596
ff0f8549b6	011d02e212
ff8307c637	ff427ec53a
feb00d73ee	00263dc24d
00bb302610	ff40a98f20
00169a5e89	ffb55cf512
ffb27a509f	00bf33bffd
01687d5583	007ea43ad8
ff432a15e6	ffbb1e3823
00ec3a35ab	005a872057
009d289054	00742e20b2
00613e45d2	004d649871
00693571ed	ff40c00696
fe509cb5c0	ff9ee5bf8a
00902fc9b2	00b2e2138e
005da70c23	ffc7f7f6c8
00c29305c6	00eb8e1a9d
0042090d8f	0028a6f30d
ff59e7f183	ffb527eb94
ffaacdbc70	ffbffb39a2
ff31c36b13	ff5219e1d9
00249a5838	003438f20e
009df00e18	ff39b86724
00b0d3269f	ffa94738f5
00d70889a7	ff5ebd357b
fede02c971	ff820bfdae
fe8cf42bdf	ffcd659e9c
006c63af53	ff5701507a
00c30cebf8	0071273055
ff7dfc6a0e	fed3d28fa7
ff401a4644	00bd8a25d4
004f04bece	ff9cc65993
0071feb210	000d34b19d
0108508e51	0043815825
001a6742ca	fefc7a3271
ff34fdb12a	00378bceea
005ac8609e	fe9eb6349b
ff5202da53	ff559a3266
fdaae6dec4	0029458349
00a055feb8	ffe4e26269
010ee7f218	00877431ad
0029e8488f	ffbd099b10
fe51b08b44	005824b37d
fd8c0b383c	ffb1fc1d2d
010addc7df	ff17a47ddd
014a8264a4	ff012ea393
00011a5a55	0038d8e29f
fe77bb7c03	ffc943565a
ff9f4e283d	0060e8876a
ff643d901a	ff865a0d79
fff0bd05c5	feff39f930
ff254d3a60	ff7490aa70
ff4c1acf66	fffd69dca8
fffdd66155	ffd5ffdcae
0103519cad	00e45df745
00a93f4c3b	00497b2112
009cbe9bc8	ffd37e6733
fe73eaebc6	0010a7078e
010c87ce6f	00c5e63f29
00cf2d128f	ff632f4c59
fe852d16c7	0060da866d
ffc129b720	ff8e61df59
fe70b8ffea	0092e98115
ff8ef9d34a	0097374929
0088518169	ffc00c5b8e
0159fa7618	ffdcac4239
014197d319	ff8168881a
ff2a9f09e2	00888a513a
ffd0160d4a	00d4a80a4f
00d68f94f9	0013d3b583
0154be1da9	ff9b342d68
ffea1eb857	001ee6e905
00c91cf7b4	0040eb1d5b
0006049386	00b9e66ca9
ff27760308	fea1d926b7
fee5a99933	00da1623e9
00a1fbc6c4	ff604098be
00e0580795	ff33979eb8
0005095126	005f5511e5
ff80f1cc82	000d3d1392
ffd6816843	000fe91b41
00aa92c719	002894c357
00b17f4d1c	006aa5b244
ffc283617e	006b279680
feaf6e17d7	ff9e889326
ff7a6195be	000ee47676
fef1d0e527	ff6b5e2afd
02382281b1	00bc2b8ca5
ffb3221b54	0031881dfd
ff0e9630d4	002dd26668
ff4b24c62d	ff57ed8b35
fff172af0d	ff6d91f526
ffc1621e77	000d2f48a4
ffd823c10f	004c6cd80f
ffc5acbf7b	00a25ec78d
